시군구별 계약종별별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2019,서울특별시,동대문구,심 야,"773,952","727,096","558,819","453,691","480,433","503,622","685,676","752,567","517,852","260,284","259,724","510,156",
2019,서울특별시,동대문구,합 계,"135,701,421","128,384,670","110,087,635","110,138,879","101,359,753","109,559,259","121,930,588","147,212,933","133,082,754","107,665,158","104,151,713","119,410,912",
2019,서울특별시,성북구,주택용,"53,203,298","52,444,717","45,731,953","48,236,038","44,692,683","45,748,554","48,493,013","64,692,633","58,957,978","46,786,868","46,791,804","49,457,290",
2019,서울특별시,성북구,일반용,"52,895,676","49,833,640","41,525,423","40,597,225","37,611,671","41,342,870","46,000,848","53,912,348","49,454,946","40,260,085","38,209,250","44,774,285",
2019,서울특별시,성북구,교육용,"17,239,271","15,092,035","13,142,583","13,129,927","11,601,325","13,267,771","14,380,287","15,060,624","14,543,545","12,238,765","13,004,360","16,993,357",
2019,서울특별시,성북구,산업용,"8,965,816","8,548,601","8,154,594","8,335,310","8,106,082","8,503,483","8,948,376","9,517,925","8,911,118","7,951,264","7,876,640","8,488,486",
2019,서울특별시,성북구,농사용,"3,919","3,791","3,053","4,769","5,068","5,123","5,019","5,749","5,641","5,025","4,107","3,705",
2019,서울특별시,성북구,가로등,"1,350,613","1,251,094","1,183,562","1,102,232","1,028,793","963,968","960,202","1,001,654","1,092,833","1,296,112","1,344,876","1,304,373",
2019,서울특별시,성북구,심 야,"2,606,711","2,448,753","1,863,706","1,578,300","1,049,732","891,607","994,825","1,062,507","783,270","610,413","1,029,594","1,893,778",
2019,서울특별시,성북구,합 계,"136,265,304","129,622,631","111,604,874","112,983,801","104,095,354","110,723,376","119,782,570","145,253,440","133,749,331","109,148,532","108,260,631","122,915,274",
2019,서울특별시,도봉구,주택용,"38,715,762","37,993,003","32,712,674","34,485,681","31,814,321","32,384,545","35,197,074","46,798,976","38,870,876","32,053,366","33,562,620","35,437,198",
2019,서울특별시,도봉구,일반용,"34,374,766","32,090,202","26,364,099","25,922,067","24,183,314","26,763,934","30,279,871","35,559,899","31,996,408","25,889,992","24,935,498","29,541,225",
2019,서울특별시,도봉구,교육용,"4,248,343","3,659,154","2,948,421","2,922,819","1,885,126","2,012,216","2,397,605","2,201,032","2,451,787","1,986,825","2,065,814","3,770,245",
2019,서울특별시,도봉구,산업용,"5,558,068","5,245,595","4,743,617","5,009,628","4,689,982","4,857,279","5,130,191","5,595,162","5,475,890","4,738,613","4,854,895","4,989,411",
2019,서울특별시,도봉구,농사용,"37,322","30,992","23,477","27,473","20,654","20,187","20,664","20,072","21,933","16,550","18,642","26,789",
2019,서울특별시,도봉구,가로등,"627,470","574,223","508,063","489,245","451,243","425,667","409,482","433,320","465,474","506,358","550,408","578,075",
2019,서울특별시,도봉구,심 야,"709,549","670,487","523,049","436,680","285,705","254,180","324,128","324,313","243,073","158,557","286,280","503,056",
2019,서울특별시,도봉구,합 계,"84,271,280","80,263,656","67,823,400","69,293,593","63,330,345","66,718,008","73,759,015","90,932,774","79,525,441","65,350,261","66,274,157","74,845,999",
2019,서울특별시,은평구,주택용,"56,656,354","55,379,627","48,372,151","50,798,750","47,086,866","48,052,952","51,747,085","69,731,289","60,809,473","48,391,280","49,102,030","52,253,501",
2019,서울특별시,은평구,일반용,"52,614,072","50,191,156","41,203,830","41,494,477","38,579,150","42,486,677","47,261,210","56,124,308","51,059,550","41,469,660","39,049,439","45,280,197",
2019,서울특별시,은평구,교육용,"4,584,148","4,148,798","3,291,145","3,248,063","2,145,973","2,479,255","3,068,414","2,805,516","3,290,150","2,363,536","2,479,922","4,383,284",
2019,서울특별시,은평구,산업용,"15,830,054","16,107,575","13,751,403","14,686,052","14,345,536","15,012,239","15,500,103","18,575,791","16,690,064","14,805,786","15,176,598","15,362,343",
2019,서울특별시,은평구,농사용,"11,498","10,858","10,151","12,178","14,809","15,787","13,329","18,361","20,256","15,950","15,681","16,659",
2019,서울특별시,은평구,가로등,"888,098","812,875","755,813","697,376","621,933","588,173","583,828","622,119","677,343","745,300","800,855","859,416",
2019,서울특별시,은평구,심 야,"1,178,152","1,136,298","856,357","761,742","604,492","584,950","692,295","813,819","785,874","585,427","676,992","898,245",
2019,서울특별시,은평구,합 계,"131,762,376","127,787,187","108,240,850","111,698,638","103,398,759","109,220,033","118,866,264","148,691,203","133,332,710","108,376,939","107,301,517","119,053,645",
2019,서울특별시,서대문구,주택용,"38,878,864","37,558,492","33,072,929","34,340,578","32,158,682","33,249,695","37,125,526","48,851,949","40,461,409","33,253,288","33,809,718","36,216,593",
2019,서울특별시,서대문구,일반용,"55,210,115","50,622,674","43,720,621","43,047,733","42,079,746","46,200,983","52,927,382","60,116,608","52,996,224","44,071,096","41,742,228","48,453,616",
2019,서울특별시,서대문구,교육용,"17,775,654","15,059,717","14,529,632","13,504,240","13,341,709","14,630,251","16,773,736","17,101,788","15,704,687","13,525,727","13,973,541","17,484,331",
2019,서울특별시,서대문구,산업용,"2,988,006","2,819,217","2,671,613","2,776,975","2,671,540","2,779,243","2,948,040","3,094,798","2,966,949","2,682,583","2,625,309","2,797,642",
2019,서울특별시,서대문구,농사용,"1,425","1,368",896,980,715,707,"1,164","1,538","1,482",860,966,"1,097",
2019,서울특별시,서대문구,가로등,"886,288","828,062","741,340","670,831","619,582","585,027","568,887","606,146","653,899","716,197","780,052","830,122",
2019,서울특별시,서대문구,심 야,"812,864","788,455","566,625","552,580","725,683","583,161","821,033","1,016,428","634,869","308,231","300,457","572,142",
2019,서울특별시,서대문구,합 계,"116,553,216","107,677,985","95,303,656","94,893,917","91,597,657","98,029,067","111,165,768","130,789,255","113,419,519","94,557,982","93,232,271","106,355,543",
2019,서울특별시,마포구,주택용,"51,664,138","49,783,102","42,938,361","44,844,179","41,640,856","44,540,937","49,918,359","67,209,804","56,210,660","44,223,753","44,518,852","47,294,339",
