시군구별 용도업종별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,업종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2020,서울특별시,종로구,농업. 임업,"9,573","8,118","6,843","5,722","5,341","5,903","6,605","6,324","5,906","4,440","5,526","8,393",
2020,서울특별시,종로구,금속비금속,"53,396","50,687","44,130","43,638","37,031","43,726","49,909","45,411","51,584","37,909","39,742","51,614",
2020,서울특별시,종로구,식료품제조,"191,592","182,151","162,854","159,055","157,160","173,125","180,390","160,945","180,526","158,763","146,731","153,553",
2020,서울특별시,종로구,섬      유,"319,028","330,558","327,097","298,632","265,210","309,319","323,919","277,420","313,191","229,670","255,136","273,214",
2020,서울특별시,종로구,의복. 모피,"2,384,212","2,623,570","2,733,382","2,660,684","2,461,111","2,921,047","2,934,548","2,522,060","2,805,673","2,081,191","2,308,956","2,226,837",
2020,서울특별시,종로구,가죽. 신발,"22,619","21,096","21,950","15,755","13,582","14,815","17,748","15,715","17,022","12,544","14,563","17,905",
2020,서울특별시,종로구,목재. 나무,"42,211","40,509","32,370","28,330","22,681","25,877","36,721","36,685","38,199","25,294","31,528","43,054",
2020,서울특별시,종로구,펄프. 종이,"40,292","37,060","36,288","26,123","22,498","26,061","29,336","27,520","30,318","19,988","26,572","36,241",
2020,서울특별시,종로구,출판. 인쇄,"385,542","385,575","366,819","300,141","277,211","363,818","377,162","290,673","330,676","281,493","302,308","358,790",
2020,서울특별시,종로구,화학  제품,"49,795","47,790","48,443","42,429","35,951","37,712","44,287","35,862","43,320","34,255","32,714","42,311",
2020,서울특별시,종로구,고무. 플라,"105,843","102,244","107,023","100,494","89,531","110,678","119,717","105,151","112,305","83,400","96,260","102,818",
2020,서울특별시,종로구,유      리,"12,893","12,166","11,287","8,498","5,421","5,425","7,428","6,168","7,758","4,053","2,905","4,695",
2020,서울특별시,종로구,시  멘  트,"21,918","19,811","17,191","16,041","12,415","13,271","15,811","17,707","19,384","11,680","16,571","23,685",
2020,서울특별시,종로구,1차   금속,"74,088","68,360","56,516","44,063","37,171","43,057","51,417","54,345","58,699","38,006","44,259","65,406",
2020,서울특별시,종로구,조립  금속,"147,306","139,996","123,416","99,795","78,906","83,882","101,003","96,332","108,051","70,593","85,660","117,501",
2020,서울특별시,종로구,기타  기계,"94,595","89,731","88,135","80,061","63,273","69,587","82,962","79,370","86,510","60,364","65,057","85,471",
2020,서울특별시,종로구,사무  기기,"1,149","1,133",707,460,499,600,585,201,114,-,-,-,
2020,서울특별시,종로구,전기  기기,"27,341","28,041","25,739","19,477","13,632","11,514","14,646","15,321","16,332","10,337","14,432","22,605",
2020,서울특별시,종로구,영상. 음향,"14,234","13,854","12,547","9,852","8,372","8,571","10,255","10,063","10,561","6,340","9,075","12,423",
2020,서울특별시,종로구,의료. 광학,"91,230","86,192","77,192","69,147","57,957","64,162","72,922","73,549","75,275","56,358","62,718","76,583",
2020,서울특별시,종로구,자  동  차,"1,595","2,240","3,254","2,658","2,684","2,746","2,325","1,470","1,610","1,562","2,052","1,240",
2020,서울특별시,종로구,기타  운송,"13,119","14,323","12,633","12,330","12,935","14,369","14,695","15,451","13,296","10,828","12,375","13,341",
2020,서울특별시,종로구,가구및기타,"1,772,823","1,727,824","1,488,353","1,308,169","1,139,575","1,275,816","1,482,242","1,360,812","1,475,688","1,094,181","1,247,538","1,513,530",
2020,서울특별시,종로구,수      도,"214,429","214,060","195,274","200,190","195,088","212,020","209,852","182,124","179,839","171,267","171,727","160,101",
2020,서울특별시,종로구,사업자  용,"158,235","154,629","142,911","149,347","160,314","201,812","202,568","207,431","206,022","161,768","161,551","161,866",
2020,서울특별시,종로구,가정용부문,"21,861,165","21,435,435","19,918,655","19,431,878","18,578,576","20,592,093","22,376,513","25,673,386","25,337,255","18,964,946","19,414,634","21,087,179",
2020,서울특별시,종로구,국  군  용,"440,990","426,192","361,310","296,961","258,524","278,777","301,155","343,115","341,728","237,377","283,073","422,329",
2020,서울특별시,종로구,기타공공용,"9,725,223","9,075,716","7,476,709","6,520,228","6,105,813","7,421,192","8,193,017","8,445,982","8,252,777","6,339,318","7,389,315","9,044,572",
2020,서울특별시,종로구,관  공  용,"7,115,766","6,863,369","5,746,033","5,341,791","5,569,914","7,202,361","7,910,163","8,894,794","7,563,703","5,371,757","5,616,767","6,355,874",
2020,서울특별시,종로구,순수써비스,"112,166,977","102,975,273","92,099,511","81,613,209","82,097,869","98,447,096","107,031,901","112,496,938","101,197,804","78,788,728","83,587,196","97,850,586",
2020,서울특별시,종로구,합 계,"157,559,179","147,177,703","131,744,572","118,905,158","117,786,245","139,980,432","152,201,802","161,498,325","148,881,126","114,368,410","121,446,941","140,333,717",
2020,서울특별시,중구,농업. 임업,"3,668","2,836","2,210","1,301","1,115",844,"1,295","1,427","1,339",871,868,"1,560",
2020,서울특별시,중구,어      업,543,481,479,560,591,686,806,954,840,663,412,466,
2020,서울특별시,중구,금속비금속,"17,816","16,478","14,003","10,479","8,276","9,981","11,601","12,628","13,088","8,920","12,083","14,515",
2020,서울특별시,중구,식료품제조,"305,042","290,827","251,707","262,008","262,145","295,969","317,237","330,374","352,814","301,066","279,596","279,456",
2020,서울특별시,중구,섬      유,"491,471","490,786","487,592","446,958","393,078","487,547","495,306","452,851","515,496","349,443","391,577","439,695",
2020,서울특별시,중구,의복. 모피,"2,846,549","3,013,252","3,059,929","2,973,009","2,687,468","3,126,644","3,169,351","2,951,975","3,346,624","2,424,470","2,623,064","2,581,785",
2020,서울특별시,중구,가죽. 신발,"72,329","66,900","66,895","59,144","55,661","61,245","69,100","69,560","65,177","45,094","48,174","67,497",
2020,서울특별시,중구,목재. 나무,"69,777","66,552","61,331","52,528","40,433","43,114","49,849","51,591","54,707","38,954","44,752","61,966",
2020,서울특별시,중구,펄프. 종이,"1,665,273","1,523,030","1,372,805","1,195,723","1,006,012","1,326,181","1,463,433","1,406,043","1,583,780","1,028,182","1,141,420","1,389,381",
2020,서울특별시,중구,출판. 인쇄,"11,212,920","10,494,081","9,889,259","8,660,941","7,393,871","8,941,258","10,046,498","10,023,315","10,754,121","7,661,925","8,700,805","10,713,335",
2020,서울특별시,중구,석유  정제,"1,085","1,391",923,996,842,983,998,900,"1,089","1,241",970,888,
2020,서울특별시,중구,화학  제품,"195,518","202,210","191,424","169,825","140,377","145,458","158,407","159,557","172,518","125,839","146,131","180,769",
2020,서울특별시,중구,고무. 플라,"239,987","230,693","222,247","204,022","176,382","205,028","219,663","205,596","240,163","165,271","179,650","206,971",
2020,서울특별시,중구,유      리,"14,586","13,891","12,200","10,573","7,257","7,201","8,952","10,347","10,352","5,878","7,992","11,926",
2020,서울특별시,중구,시  멘  트,"8,554","7,786","6,228","6,811","4,585","6,291","6,925","7,794","8,435","5,832","6,388","6,868",
2020,서울특별시,중구,1차   금속,"77,468","72,048","66,981","53,468","38,235","40,342","45,674","44,696","48,779","35,971","43,254","55,003",
2020,서울특별시,중구,조립  금속,"181,485","171,809","164,181","141,271","109,467","110,344","126,672","120,461","125,593","85,111","101,713","147,405",
2020,서울특별시,중구,기타  기계,"249,995","233,436","215,261","180,747","140,127","164,449","193,762","189,833","212,206","141,482","159,827","224,029",
2020,서울특별시,중구,사무  기기,"4,398","4,608","4,565","20,626","21,566","26,219","24,128","15,800","18,068","19,346","21,290","8,326",
2020,서울특별시,중구,전기  기기,"34,805","32,603","29,639","24,681","15,938","14,697","17,054","19,133","21,138","11,283","14,985","28,759",
2020,서울특별시,중구,영상. 음향,"15,052","14,891","12,674","9,591","5,452","5,941","7,066","7,523","9,387","4,854","6,547","11,464",
2020,서울특별시,중구,의료. 광학,"55,036","53,686","47,248","40,107","31,152","31,774","39,511","39,103","43,947","27,262","32,918","47,728",
2020,서울특별시,중구,자  동  차,-,-,-,-,-,-,-,6,4,30,30,54,
2020,서울특별시,중구,기타  운송,"259,917","132,100","125,593","115,173","101,554","119,684","124,348","82,516","95,097","70,591","79,344","99,900",
2020,서울특별시,중구,가구및기타,"1,328,651","1,266,084","1,193,323","1,099,861","1,040,840","1,109,920","1,144,858","1,174,558","1,188,634","1,015,023","1,101,686","1,255,272",
2020,서울특별시,중구,수      도,"22,619","22,107","21,520","21,472","21,082","21,829","24,305","34,061","34,612","34,183","32,814","33,882",
2020,서울특별시,중구,사업자  용,"1,037,735","1,039,166","926,466","932,697","828,309","944,961","954,532","1,014,311","997,461","837,659","853,957","860,115",
2020,서울특별시,중구,가정용부문,"17,184,944","16,753,774","15,707,820","15,369,705","14,696,083","16,322,121","17,620,093","20,813,622","19,699,312","14,875,563","15,384,066","16,927,752",
2020,서울특별시,중구,국  군  용,"7,418","7,729","6,352","4,052","3,231","2,058","1,055",620,601,656,"1,511","2,212",
2020,서울특별시,중구,유엔군  용,"39,418","38,460","25,290","21,752","21,836","18,892","18,256","18,616","17,360","16,610","20,442","20,274",
