시군구별 계약종별별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2018,서울특별시,종로구,주택용,"24,546,965","24,679,527","20,401,275","20,286,731","19,180,367","20,682,071","24,096,119","34,169,296","24,780,679","18,567,799","20,880,595","21,965,864",
2018,서울특별시,종로구,일반용,"124,214,898","120,933,139","97,520,950","90,376,137","88,448,529","99,595,430","116,312,824","137,591,335","108,902,074","85,751,488","89,536,178","106,635,938",
2018,서울특별시,종로구,교육용,"10,470,670","10,909,510","7,929,867","7,458,541","6,683,567","7,857,655","9,019,645","10,088,777","9,130,812","6,546,656","7,469,901","9,647,726",
2018,서울특별시,종로구,산업용,"6,770,284","7,800,366","6,361,478","6,840,807","6,090,341","6,459,713","6,488,101","7,440,279","7,284,559","5,278,394","5,906,079","6,167,006",
2018,서울특별시,종로구,농사용,"8,591","8,441","5,535","3,924","3,291","2,295","1,740","2,350","2,119","2,045","1,640","3,827",
2018,서울특별시,종로구,가로등,"1,009,885","974,653","862,845","817,159","758,955","715,794","697,786","800,525","759,872","825,487","899,678","941,063",
2018,서울특별시,종로구,심 야,"3,998,678","4,128,852","3,077,753","2,505,935","3,142,727","4,465,293","6,402,977","7,273,633","5,833,036","1,804,557","1,906,169","2,702,657",
2018,서울특별시,종로구,합 계,"171,019,971","169,434,488","136,159,703","128,289,234","124,307,777","139,778,251","163,019,192","197,366,195","156,693,151","118,776,426","126,600,240","148,064,081",
2018,서울특별시,중구,주택용,"18,155,094","18,761,790","15,298,774","15,438,180","14,562,024","15,715,716","18,472,463","27,322,548","19,187,483","14,641,433","15,555,969","16,729,081",
2018,서울특별시,중구,일반용,"184,952,261","174,193,350","148,034,030","137,922,235","141,240,479","159,060,972","187,490,827","210,076,687","166,580,778","135,481,009","137,557,214","160,061,810",
2018,서울특별시,중구,교육용,"6,053,631","5,721,741","4,311,640","3,362,564","3,143,183","3,627,315","4,119,793","4,402,115","3,872,990","2,948,359","3,905,979","5,594,613",
2018,서울특별시,중구,산업용,"23,976,885","25,200,459","20,267,577","20,120,926","18,040,854","19,425,561","21,008,763","23,560,482","22,443,570","16,686,586","18,303,362","20,393,612",
2018,서울특별시,중구,가로등,"1,346,924","1,319,317","1,210,384","1,269,288","1,200,469","1,199,578","1,127,914","1,188,465","1,176,853","1,177,384","1,208,901","1,190,819",
2018,서울특별시,중구,심 야,"931,451","903,523","1,000,005","1,536,875","3,778,824","7,362,419","11,093,496","12,287,064","7,024,954","1,987,747","573,071","636,972",
2018,서울특별시,중구,합 계,"235,416,246","226,100,180","190,122,410","179,650,068","181,965,833","206,391,561","243,313,256","278,837,361","220,286,628","172,922,518","177,104,496","204,606,907",
2018,서울특별시,용산구,주택용,"36,661,394","37,342,404","30,757,829","31,054,017","29,113,569","31,711,084","37,413,512","56,902,714","39,586,745","29,119,492","30,527,065","32,681,314",
2018,서울특별시,용산구,일반용,"80,030,696","79,744,671","62,850,962","58,393,289","57,227,484","65,659,238","77,442,986","92,243,123","74,440,591","56,574,962","57,343,886","67,377,084",
2018,서울특별시,용산구,교육용,"5,871,642","5,789,454","4,316,545","3,907,226","3,497,034","4,147,141","4,852,077","5,397,527","5,080,991","3,484,640","3,911,693","5,336,020",
2018,서울특별시,용산구,산업용,"10,052,213","10,194,197","8,734,002","8,538,511","8,031,377","8,514,305","9,164,442","10,932,445","10,052,741","8,326,293","8,379,463","8,683,122",
2018,서울특별시,용산구,농사용,678,31,35,-,-,-,-,-,-,-,-,-,
