시군구별 계약종별별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2016,서울특별시,종로구,주택용,"23,135,783","23,329,919","20,694,440","20,092,127","19,020,476","20,553,379","22,674,936","28,825,312","24,280,652","19,434,801","20,383,288","21,579,290",
2016,서울특별시,종로구,일반용,"115,806,679","114,135,050","101,740,167","90,477,934","90,986,397","105,463,263","116,979,711","132,062,334","111,850,113","92,624,849","92,973,676","105,533,982",
2016,서울특별시,종로구,교육용,"9,108,082","9,408,764","8,163,733","7,101,467","6,484,201","8,279,873","8,759,127","9,355,391","8,684,331","7,133,945","7,414,215","8,982,473",
2016,서울특별시,종로구,산업용,"6,289,620","6,774,487","6,827,445","6,748,232","5,894,141","6,557,302","6,537,548","6,644,969","6,874,451","5,562,886","5,937,806","6,427,565",
2016,서울특별시,종로구,농사용,"3,132","3,607","3,031","2,404","3,741","4,075","2,766","2,195","2,010","2,070","2,573","5,603",
2016,서울특별시,종로구,가로등,"1,120,692","1,060,852","953,717","911,094","823,209","789,238","773,486","810,232","872,916","925,769","993,020","1,038,086",
2016,서울특별시,종로구,심 야,"4,165,222","4,496,534","3,666,869","3,010,354","3,627,871","5,057,399","6,278,297","7,063,869","4,815,565","2,698,999","2,116,679","3,302,833",
2016,서울특별시,종로구,합 계,"159,629,210","159,209,213","142,049,402","128,343,612","126,840,036","146,704,529","162,005,871","184,764,302","157,380,038","128,383,319","129,821,257","146,869,832",
2016,서울특별시,중구,주택용,"17,044,286","17,221,709","15,278,068","15,019,214","14,154,343","15,171,434","16,867,730","22,302,354","18,088,595","14,378,680","14,920,324","15,798,754",
2016,서울특별시,중구,일반용,"173,594,469","166,512,554","154,677,248","140,640,948","148,049,220","170,642,133","189,003,374","206,461,787","175,691,201","149,233,880","145,903,970","162,905,258",
2016,서울특별시,중구,교육용,"5,082,141","4,760,768","4,203,542","3,108,921","2,957,806","3,637,246","3,827,862","3,989,357","3,730,811","2,948,724","3,866,792","4,929,687",
2016,서울특별시,중구,산업용,"22,752,468","23,707,985","21,847,603","20,499,535","18,473,754","20,482,523","21,554,541","23,273,905","22,329,061","18,622,518","19,266,902","21,069,221",
2016,서울특별시,중구,가로등,"1,573,179","1,526,537","1,424,423","1,465,173","1,371,365","1,348,003","1,289,178","1,296,867","1,305,935","1,309,531","1,369,351","1,371,652",
2016,서울특별시,중구,심 야,"967,892","1,026,552","977,295","1,556,456","4,713,426","8,233,957","10,247,579","11,822,574","7,764,838","3,761,465","808,366","817,752",
2016,서울특별시,중구,합 계,"221,014,435","214,756,105","198,408,179","182,290,247","189,719,914","219,515,296","242,790,264","269,146,844","228,910,441","190,254,798","186,135,705","206,892,324",
2016,서울특별시,용산구,주택용,"35,365,802","35,937,641","31,621,388","30,955,340","29,091,277","31,688,952","35,272,487","48,052,892","39,161,766","29,762,649","30,610,008","32,277,355",
2016,서울특별시,용산구,일반용,"71,581,562","72,773,610","62,612,582","55,682,397","54,577,676","65,511,409","73,221,556","85,232,344","73,802,243","58,258,654","57,092,455","64,996,102",
2016,서울특별시,용산구,교육용,"5,001,384","5,270,259","4,566,486","3,870,590","3,508,431","4,464,021","4,945,581","5,108,155","5,019,595","3,996,178","4,167,292","5,032,811",
2016,서울특별시,용산구,산업용,"9,018,293","9,252,908","8,637,176","8,354,919","8,173,584","8,889,023","9,181,987","10,021,220","9,639,739","8,583,291","8,698,057","8,944,215",
2016,서울특별시,용산구,농사용,7,11,4,4,5,675,680,396,601,897,"1,850","2,305",
2016,서울특별시,용산구,가로등,"1,460,641","1,389,607","1,260,092","1,220,122","1,129,068","1,084,097","1,053,711","1,119,244","1,180,101","1,272,737","1,384,796","1,419,606",
2016,서울특별시,용산구,심 야,"844,566","871,969","720,500","552,517","508,184","972,687","1,249,998","1,593,193","867,139","429,189","436,139","612,088",
2016,서울특별시,용산구,합 계,"123,272,255","125,496,005","109,418,228","100,635,889","96,988,225","112,610,864","124,926,000","151,127,444","129,671,184","102,303,595","102,390,597","113,284,482",
2016,서울특별시,성동구,주택용,"35,562,950","36,669,388","32,538,109","32,198,201","30,195,687","31,963,738","34,457,927","46,473,578","40,848,730","31,357,845","32,532,616","33,846,067",
2016,서울특별시,성동구,일반용,"76,008,572","72,076,907","54,964,180","48,537,952","46,732,417","53,751,682","59,525,856","67,824,693","59,603,944","48,491,882","49,530,755","57,206,149",
2016,서울특별시,성동구,교육용,"7,203,801","6,835,631","6,465,238","5,460,508","5,358,214","6,339,600","6,889,885","7,033,960","6,488,913","5,272,035","5,834,579","7,117,025",
2016,서울특별시,성동구,산업용,"48,693,093","51,350,935","60,432,359","57,688,052","55,573,327","58,705,711","61,735,034","66,839,066","63,038,656","58,552,771","58,733,418","61,626,043",
2016,서울특별시,성동구,농사용,162,59,50,39,27,12,13,88,362,101,25,52,
2016,서울특별시,성동구,가로등,"1,255,783","1,180,281","1,084,736","1,037,517","974,832","915,341","889,141","923,062","979,462","1,071,926","1,132,223","1,199,289",
2016,서울특별시,성동구,심 야,"647,782","732,780","552,421","332,100","176,952","244,437","317,075","398,430","303,833","151,972","234,114","458,910",
2016,서울특별시,성동구,합 계,"169,372,143","168,845,981","156,037,093","145,254,369","139,011,456","151,920,521","163,814,931","189,492,877","171,263,900","144,898,532","147,997,730","161,453,535",
2016,서울특별시,동대문구,주택용,"43,788,835","44,751,981","39,820,228","39,370,084","36,828,139","38,782,682","41,841,946","55,134,067","47,521,321","37,066,852","38,471,238","40,288,951",
2016,서울특별시,동대문구,일반용,"60,971,229","63,455,444","54,324,448","48,390,455","45,665,573","53,524,957","60,037,684","69,721,088","62,234,764","48,333,098","47,693,042","54,605,837",
2016,서울특별시,동대문구,교육용,"8,328,407","8,135,763","7,417,508","6,258,741","5,662,320","6,746,375","7,344,946","7,635,666","7,199,796","5,810,233","6,676,852","8,171,304",
2016,서울특별시,동대문구,산업용,"15,002,309","15,322,390","13,633,971","12,824,643","12,030,005","12,965,021","14,129,565","16,647,227","15,346,470","12,302,492","12,797,899","13,917,756",
2016,서울특별시,동대문구,농사용,"1,589","1,224",593,626,685,"1,012","1,160","1,431","1,793","1,300","1,065",729,
2016,서울특별시,동대문구,가로등,"1,161,815","1,098,325","1,005,143","916,755","842,813","758,141","743,441","790,930","841,069","960,035","1,026,058","1,099,234",
2016,서울특별시,동대문구,심 야,"1,120,164","1,197,709","989,317","689,283","625,099","720,278","875,240","1,025,157","637,866","327,615","457,726","777,947",
2016,서울특별시,동대문구,합 계,"130,374,348","133,962,836","117,191,208","108,450,587","101,654,634","113,498,466","124,973,982","150,955,566","133,783,079","104,801,625","107,123,880","118,861,758",
2016,서울특별시,성북구,주택용,"53,281,099","54,483,970","48,368,737","48,075,228","44,818,385","46,544,681","49,425,917","64,684,375","56,431,288","44,570,086","46,655,494","48,555,104",
2016,서울특별시,성북구,일반용,"50,056,731","52,156,539","44,772,785","40,251,951","37,829,815","43,695,885","48,414,946","56,716,069","50,536,606","40,015,426","39,398,861","44,757,838",
2016,서울특별시,성북구,교육용,"15,558,836","15,291,655","13,740,123","11,763,830","11,066,110","13,598,167","13,713,017","15,151,764","13,829,752","11,493,846","13,270,699","15,906,237",
2016,서울특별시,성북구,산업용,"8,672,005","8,999,560","8,729,892","8,297,637","7,961,221","8,617,755","8,884,001","9,593,365","8,786,522","7,774,112","8,021,378","8,343,843",
2016,서울특별시,성북구,농사용,"6,823","15,536","12,333","11,310","13,467","8,849","9,001","9,630","11,794","7,707","6,602","7,590",
2016,서울특별시,성북구,가로등,"1,494,583","1,413,531","1,317,046","1,207,375","1,136,037","1,062,834","1,044,558","1,116,503","1,179,680","1,305,884","1,378,976","1,455,500",
2016,서울특별시,성북구,심 야,"3,042,753","3,242,778","2,636,713","1,748,234","1,131,263","1,173,588","1,277,478","1,343,783","959,117","770,883","1,449,500","2,368,257",
