시군구별 계약종별별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2023,서울특별시,종로구,주택용,"25,002,325","23,457,859","19,732,099","19,571,066","18,879,285","20,820,388","25,770,466","31,732,539","27,333,152","20,318,251","20,011,145","22,240,059",
2023,서울특별시,종로구,일반용,"120,952,865","111,104,889","93,861,507","87,142,619","89,355,758","101,804,895","116,257,864","126,086,436","113,869,027","88,813,047","91,840,928","106,587,349",
2023,서울특별시,종로구,교육용,"11,323,914","10,147,266","7,825,515","7,091,675","6,616,873","8,111,484","9,471,326","9,915,822","10,102,817","7,206,021","7,645,179","9,794,109",
2023,서울특별시,종로구,산업용,"7,072,244","6,736,726","6,165,032","6,111,178","5,443,929","5,945,401","6,268,019","6,302,107","6,558,507","4,836,502","5,198,296","5,778,097",
2023,서울특별시,종로구,농사용,631,998,596,746,729,"1,034","1,112","1,016",983,"1,000","1,147","1,494",
2023,서울특별시,종로구,가로등,"715,608","655,573","597,562","576,455","531,006","508,446","503,327","535,592","569,708","613,015","654,961","683,326",
2023,서울특별시,종로구,심 야,"2,509,852","2,367,535","1,752,210","1,693,870","3,601,117","4,897,395","6,963,055","7,283,687","5,425,710","1,765,749","1,134,283","1,705,710",
2023,서울특별시,종로구,합 계,"167,577,439","154,470,846","129,934,521","122,187,609","124,428,697","142,089,043","165,235,169","181,857,199","163,859,904","123,553,585","126,485,939","146,790,144",
2023,서울특별시,중구,주택용,"20,006,959","18,795,900","16,028,385","15,997,744","15,558,035","17,321,456","22,043,390","26,770,650","22,327,345","16,580,359","16,594,059","18,470,427",
2023,서울특별시,중구,일반용,"170,051,169","152,895,706","132,758,654","123,395,065","131,373,816","149,922,204","172,787,110","185,116,186","165,916,166","130,393,068","134,501,073","153,761,646",
2023,서울특별시,중구,교육용,"5,930,833","4,974,469","3,970,307","3,190,261","3,077,824","3,481,836","3,873,454","3,837,686","4,077,638","2,958,171","3,959,795","5,298,494",
2023,서울특별시,중구,산업용,"21,515,567","19,904,543","17,527,763","16,840,019","15,843,865","16,937,284","18,874,302","19,491,344","19,635,897","15,024,064","15,883,976","17,648,865",
2023,서울특별시,중구,농사용,-,-,-,-,-,-,-,-,-,-,-,497,
2023,서울특별시,중구,가로등,"918,310","895,529","807,841","785,230","747,554","735,602","704,479","758,237","793,582","808,996","850,757","871,467",
2023,서울특별시,중구,심 야,"813,746","748,906","748,552","1,383,237","4,837,132","8,209,662","11,105,378","12,163,826","8,992,935","2,673,392","892,477","606,666",
2023,서울특별시,중구,합 계,"219,236,584","198,215,053","171,841,502","161,591,556","171,438,226","196,608,044","229,388,113","248,137,929","221,743,563","168,438,050","172,682,137","196,658,062",
2023,서울특별시,용산구,주택용,"38,889,390","37,074,402","31,100,274","31,300,153","30,071,250","33,491,586","42,378,919","53,875,396","45,717,021","32,543,286","31,734,179","34,320,168",
2023,서울특별시,용산구,일반용,"90,254,490","83,255,233","69,387,819","66,955,645","68,702,195","78,444,322","89,248,630","97,641,074","89,510,731","71,713,688","72,147,381","81,667,447",
2023,서울특별시,용산구,교육용,"6,222,802","5,340,551","4,311,442","3,752,535","3,552,676","4,346,832","4,999,294","5,204,732","5,450,498","3,700,727","4,044,319","5,359,583",
