시군구별 용도업종별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,업종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2022,서울특별시,종로구,농업. 임업,"14,092","13,049","10,068","9,791","7,440","8,238","9,356","9,906","8,340","6,927","7,207","8,670",
2022,서울특별시,종로구,금속비금속,"65,851","60,068","54,750","50,871","45,267","52,900","65,383","60,496","61,188","52,017","49,877","56,750",
2022,서울특별시,종로구,식료품제조,"185,856","181,266","150,274","146,095","145,966","162,516","169,837","176,045","164,783","149,551","144,789","148,984",
2022,서울특별시,종로구,섬      유,"342,692","335,882","337,197","323,497","288,139","314,939","356,553","338,832","306,768","270,130","255,840","285,260",
2022,서울특별시,종로구,의복. 모피,"2,557,162","2,668,118","2,817,127","2,820,774","2,633,913","2,848,877","3,042,688","2,985,139","2,717,093","2,531,447","2,354,076","2,348,871",
2022,서울특별시,종로구,가죽. 신발,"23,119","24,086","19,823","17,782","16,223","17,722","20,752","22,184","19,292","16,209","14,547","16,434",
2022,서울특별시,종로구,목재. 나무,"61,832","55,692","49,407","42,054","34,560","38,734","47,840","48,492","47,398","37,145","37,739","47,562",
2022,서울특별시,종로구,펄프. 종이,"51,720","50,437","43,928","37,877","31,833","35,062","44,452","43,655","36,871","31,764","33,582","38,478",
2022,서울특별시,종로구,출판. 인쇄,"381,343","364,258","366,703","329,447","302,902","314,504","371,134","353,169","301,811","292,478","305,812","347,901",
2022,서울특별시,종로구,화학  제품,"59,350","60,600","62,703","54,881","41,852","39,440","47,062","48,208","48,268","34,535","33,045","41,544",
2022,서울특별시,종로구,고무. 플라,"113,262","106,026","108,390","105,084","99,864","108,479","115,619","113,471","103,374","97,099","96,346","102,812",
2022,서울특별시,종로구,유      리,"5,205","5,325","5,197","2,786","1,566","1,167","1,519","1,718","1,603",982,"1,222","2,084",
2022,서울특별시,종로구,시  멘  트,"32,374","31,474","27,382","24,314","21,294","21,513","22,085","25,033","20,859","20,322","19,136","25,248",
2022,서울특별시,종로구,1차   금속,"94,877","82,284","71,570","60,167","49,396","56,178","73,205","69,401","66,230","52,367","53,604","70,029",
2022,서울특별시,종로구,조립  금속,"150,470","138,954","122,124","101,324","80,482","85,237","108,641","113,997","106,008","83,535","88,775","112,354",
2022,서울특별시,종로구,기타  기계,"111,181","106,726","93,661","80,381","62,990","69,541","84,779","88,062","78,947","66,759","66,164","80,445",
2022,서울특별시,종로구,전기  기기,"26,620","26,464","23,084","15,871","9,332","9,039","12,193","14,340","12,021","9,120","11,295","17,173",
2022,서울특별시,종로구,영상. 음향,"12,913","12,811","9,637","8,532","8,185","7,171","8,102","9,836","9,004","8,413","8,244","9,703",
2022,서울특별시,종로구,의료. 광학,"100,913","97,284","85,123","76,652","66,219","69,151","88,234","102,178","93,540","77,981","76,755","98,447",
2022,서울특별시,종로구,자  동  차,"1,376","1,720","3,150","3,287","2,886","2,756","2,374","1,688","2,134","2,229","2,505","3,115",
2022,서울특별시,종로구,기타  운송,"14,736","14,463","13,674","12,879","11,274","11,877","13,745","12,375","11,393","10,987","11,535","12,109",
2022,서울특별시,종로구,가구및기타,"1,905,073","1,749,291","1,600,338","1,429,710","1,203,589","1,316,745","1,593,479","1,542,081","1,510,797","1,265,001","1,302,178","1,552,233",
2022,서울특별시,종로구,수      도,"153,855","145,522","128,998","151,602","138,507","154,487","149,567","154,914","151,293","146,149","147,964","145,093",
2022,서울특별시,종로구,사업자  용,"193,146","186,060","157,922","178,989","184,537","209,964","246,061","258,806","225,755","195,657","190,286","184,098",
2022,서울특별시,종로구,가정용부문,"23,049,695","22,318,887","19,656,277","18,709,853","18,130,025","19,406,335","25,374,746","29,096,234","23,006,898","18,968,332","18,701,332","20,744,947",
2022,서울특별시,종로구,국  군  용,"549,399","551,304","407,184","336,050","261,200","259,790","289,375","314,158","244,910","199,950","228,763","293,825",
2022,서울특별시,종로구,기타공공용,"10,385,252","9,575,153","8,050,326","7,235,532","6,202,891","7,070,042","8,371,976","8,369,743","7,846,067","6,647,955","6,761,009","9,171,035",
2022,서울특별시,종로구,관  공  용,"7,125,973","6,937,227","5,602,203","5,473,009","5,528,935","6,287,220","7,542,729","8,082,019","6,819,069","5,103,214","4,557,898","5,307,698",
2022,서울특별시,종로구,순수써비스,"115,553,616","108,559,504","94,519,201","86,159,411","86,896,600","98,729,601","118,037,347","123,390,113","104,791,695","87,075,557","86,125,746","107,259,623",
2022,서울특별시,종로구,합 계,"163,322,953","154,459,935","134,597,421","123,998,502","122,507,867","137,709,225","166,310,833","175,846,293","148,813,409","123,453,812","121,687,271","148,532,525",
2022,서울특별시,중구,농업. 임업,"2,973","3,694","2,860","1,565","1,064",867,"1,206","1,411","1,103",903,860,"1,527",
2022,서울특별시,중구,어      업,408,388,354,469,528,628,672,822,785,681,563,488,
2022,서울특별시,중구,금속비금속,"15,670","16,330","13,571","10,230","7,985","8,331","10,395","11,808","10,038","7,958","8,798","11,577",
2022,서울특별시,중구,식료품제조,"306,650","304,225","268,403","291,480","289,072","315,604","332,460","352,289","342,712","297,321","287,157","274,794",
2022,서울특별시,중구,섬      유,"470,795","480,585","448,107","406,234","368,326","387,772","446,457","470,656","408,060","361,961","348,006","384,833",
2022,서울특별시,중구,의복. 모피,"3,069,990","3,230,381","3,376,659","3,290,316","3,044,843","3,195,936","3,498,579","3,622,386","3,392,598","3,078,534","2,795,395","2,718,544",
2022,서울특별시,중구,가죽. 신발,"77,461","76,922","68,579","64,445","51,703","51,260","64,597","76,656","70,897","60,550","61,260","69,091",
2022,서울특별시,중구,목재. 나무,"73,925","68,695","58,710","48,084","38,844","41,447","46,138","55,336","44,054","37,021","40,979","55,121",
2022,서울특별시,중구,펄프. 종이,"1,695,954","1,517,293","1,283,881","1,146,772","1,079,168","1,135,767","1,317,481","1,339,991","1,198,265","997,546","1,061,765","1,259,236",
2022,서울특별시,중구,출판. 인쇄,"11,608,156","10,707,926","9,723,952","8,767,613","8,350,805","9,012,472","10,349,289","10,660,125","9,799,139","8,186,787","8,494,477","9,901,988",
2022,서울특별시,중구,석유  정제,"1,107","1,874","1,018","1,355","1,581","1,694","1,680","1,968","2,245","1,589","1,811","1,632",
2022,서울특별시,중구,화학  제품,"200,433","206,319","184,831","158,267","132,622","139,991","155,802","167,949","145,714","130,049","137,920","164,350",
2022,서울특별시,중구,고무. 플라,"238,916","237,163","217,400","190,498","161,760","166,792","195,693","200,795","177,695","158,309","153,944","180,021",
2022,서울특별시,중구,유      리,"14,135","14,091","10,638","7,961","5,082","5,145","6,717","8,201","6,047","4,366","5,969","9,061",
2022,서울특별시,중구,시  멘  트,"12,798","14,004","12,562","11,505","9,706","9,394","11,102","12,229","11,650","9,391","9,206","10,928",
2022,서울특별시,중구,1차   금속,"67,508","66,966","56,138","42,793","32,457","32,668","32,681","34,173","30,993","21,411","25,301","38,073",
2022,서울특별시,중구,조립  금속,"161,479","162,450","142,352","114,430","88,632","88,568","99,760","114,632","104,534","80,723","93,515","122,241",
2022,서울특별시,중구,기타  기계,"275,479","267,933","232,510","189,213","161,837","173,490","201,526","217,738","200,515","164,871","159,875","200,548",
2022,서울특별시,중구,사무  기기,"8,030","7,097","8,285","22,869","28,453","29,488","28,081","21,337","23,524","24,507","23,308","9,288",
2022,서울특별시,중구,전기  기기,"38,548","38,896","31,856","22,165","13,391","13,855","17,757","22,478","19,220","13,320","16,010","26,431",
2022,서울특별시,중구,영상. 음향,"14,267","15,315","13,603","7,513","4,769","4,708","5,982","8,308","6,632","4,451","5,514","8,666",
2022,서울특별시,중구,의료. 광학,"66,529","67,896","59,022","47,040","34,442","36,524","48,876","54,219","48,139","34,815","36,573","49,140",
2022,서울특별시,중구,기타  운송,"94,247","90,444","83,915","80,681","75,361","82,065","86,959","86,236","82,796","75,696","78,211","86,523",
2022,서울특별시,중구,가구및기타,"1,376,920","1,330,768","1,203,563","1,118,554","1,067,873","1,089,672","1,188,139","1,245,971","1,127,249","1,026,186","1,052,920","1,238,814",
2022,서울특별시,중구,수      도,"30,041","29,284","29,220","29,040","29,221","29,017","29,401","29,909","29,778","28,760","28,213","28,617",
2022,서울특별시,중구,사업자  용,"1,077,617","1,053,345","919,092","990,949","990,096","1,119,130","1,225,295","1,284,910","1,148,110","1,007,269","1,026,576","1,035,110",
2022,서울특별시,중구,전      철,194,194,194,194,194,194,194,194,194,194,194,194,
2022,서울특별시,중구,가정용부문,"18,584,904","17,887,687","15,935,981","14,746,555","15,828,886","16,004,955","21,508,883","24,098,608","18,558,718","15,513,666","15,486,913","17,356,048",
2022,서울특별시,중구,국  군  용,"5,854","5,968","4,305","1,195",738,616,858,911,909,943,"1,047","1,294",
2022,서울특별시,중구,유엔군  용,"37,646","38,956","30,630","28,870","18,990","19,978","22,252","24,916","21,768","20,188","21,728","32,314",
2022,서울특별시,중구,기타공공용,"5,679,204","4,998,080","4,110,161","3,163,811","2,685,072","2,979,761","3,443,018","3,185,468","3,195,146","2,624,352","3,217,194","5,345,057",
2022,서울특별시,중구,관  공  용,"6,808,378","6,564,277","5,437,533","4,853,222","4,480,020","5,030,228","6,045,662","6,506,723","5,616,122","4,771,828","4,821,378","6,177,313",
2022,서울특별시,중구,순수써비스,"161,013,617","148,582,371","132,933,492","122,770,375","129,076,091","147,714,700","178,112,370","183,710,098","155,321,958","128,148,624","123,321,275","153,539,771",
2022,서울특별시,중구,합 계,"213,129,833","198,087,817","176,903,377","162,626,263","168,159,612","188,922,717","228,535,962","237,629,451","201,147,307","166,894,770","162,823,855","200,338,633",
2022,서울특별시,용산구,농업. 임업,"87,843","77,169","85,270","1,004","24,498","1,608","2,238","2,430","1,925","1,024",835,"2,327",
2022,서울특별시,용산구,식료품제조,"139,354","143,147","115,246","112,128","111,209","118,941","130,001","143,272","145,272","114,519","108,996","110,944",
2022,서울특별시,용산구,음료품제조,"2,527","2,162","1,974","2,882","3,638","4,133","4,413","4,469","4,044","3,961","2,880","2,437",
2022,서울특별시,용산구,섬      유,"77,636","79,075","79,105","73,947","66,310","76,386","87,076","76,287","78,406","71,758","69,515","72,379",
2022,서울특별시,용산구,의복. 모피,"629,338","670,181","686,034","675,538","636,432","720,405","784,350","717,087","697,353","599,344","551,244","584,255",
2022,서울특별시,용산구,가죽. 신발,"10,480","11,358","9,801","9,458","8,051","7,455","8,295","8,381","8,070","7,662","7,983","9,631",
2022,서울특별시,용산구,목재. 나무,"2,289","2,457","1,915","1,283",659,687,882,"1,380",857,663,786,"1,440",
2022,서울특별시,용산구,펄프. 종이,"28,890","30,246","27,722","22,621","16,591","17,042","19,928","21,729","19,668","17,066","18,005","23,437",
2022,서울특별시,용산구,출판. 인쇄,"313,313","329,748","292,561","260,540","207,162","211,974","260,728","265,731","274,893","220,349","221,559","265,756",
2022,서울특별시,용산구,화학  제품,"15,364","12,777","11,085","8,010","5,694","4,962","6,803","6,963","5,566","3,501","5,487","7,428",
2022,서울특별시,용산구,고무. 플라,"33,850","34,397","30,243","21,847","18,150","17,758","20,543","20,483","19,884","17,601","18,214","21,816",
2022,서울특별시,용산구,유      리,"1,561","1,593","1,351","1,184",-,-,-,-,-,-,-,-,
2022,서울특별시,용산구,시  멘  트,"15,823","15,786","14,138","11,806","9,529","8,485","10,047","12,935","11,947","9,917","11,372","14,657",
2022,서울특별시,용산구,1차   금속,"4,206","4,542","3,106","1,522",981,842,795,"1,222",699,601,885,"1,404",
2022,서울특별시,용산구,조립  금속,"36,868","35,055","30,006","21,214","16,490","17,392","21,504","26,631","23,334","20,513","24,765","29,840",
2022,서울특별시,용산구,기타  기계,"28,377","28,304","24,135","20,737","13,771","13,611","17,530","18,821","17,018","13,444","17,024","20,963",
2022,서울특별시,용산구,사무  기기,"10,947","9,570","5,588","3,404","2,506","2,648","3,792","4,258","2,636","2,547","3,511","8,310",
2022,서울특별시,용산구,전기  기기,"11,561","11,650","10,032","8,783","11,027","16,667","20,857","23,138","22,587","21,445","21,682","22,581",
2022,서울특별시,용산구,영상. 음향,"33,937","22,707","26,454","22,731","19,716","21,319","22,509","26,936","24,420","22,182","22,623","28,217",
2022,서울특별시,용산구,의료. 광학,"63,202","60,494","48,151","39,377","32,206","33,678","40,079","43,862","35,046","27,308","30,818","42,590",
2022,서울특별시,용산구,자  동  차,"1,101","1,409","1,780","1,214",628,593,857,"1,061",763,594,528,641,
2022,서울특별시,용산구,기타  운송,"10,270","10,439","10,065","11,072","7,698","7,902","7,843","10,184","9,232","7,776","7,441","9,527",
2022,서울특별시,용산구,가구및기타,"26,811","27,418","21,020","18,879","14,630","15,701","19,231","21,932","20,187","15,594","15,203","18,950",
2022,서울특별시,용산구,재생  재료,"7,866","7,629","7,141","8,359","8,302","8,658","8,497","8,847","8,586","8,084","8,633","8,416",
2022,서울특별시,용산구,수      도,"585,927","571,607","543,239","560,394","537,554","564,153","556,532","573,269","551,640","541,486","556,296","549,898",
2022,서울특별시,용산구,사업자  용,"116,256","102,587","87,167","91,026","107,956","110,526","142,830","154,161","123,723","117,340","118,396","161,540",
2022,서울특별시,용산구,전      철,"465,677","410,648","434,957","411,497","461,911","521,951","573,302","593,282","554,934","536,112","439,463","436,939",
2022,서울특별시,용산구,가정용부문,"37,262,829","36,510,530","31,863,746","30,252,232","30,384,078","31,666,611","42,371,291","50,033,381","38,783,662","31,116,040","30,554,970","33,138,472",
2022,서울특별시,용산구,국  군  용,"2,067,269","2,161,408","1,849,501","1,777,831","1,706,796","2,026,815","2,438,240","2,820,322","2,518,461","2,059,313","1,778,335","1,787,695",
2022,서울특별시,용산구,유엔군  용,"3,605,686","3,557,827","2,845,395","2,768,441","2,480,818","2,718,469","3,132,259","3,502,531","3,029,323","2,460,425","2,491,543","2,732,685",
2022,서울특별시,용산구,기타공공용,"5,123,803","4,724,411","4,045,515","3,631,156","2,878,526","3,446,291","4,135,670","4,000,700","3,821,172","3,235,801","3,486,310","5,117,477",
2022,서울특별시,용산구,관  공  용,"14,458,493","13,760,276","12,133,753","11,497,295","11,945,388","13,719,292","16,286,441","17,181,528","14,891,956","12,128,689","10,964,425","12,943,320",
2022,서울특별시,용산구,순수써비스,"72,281,026","68,682,382","59,223,766","55,525,011","55,986,548","63,435,021","75,262,739","80,494,057","70,579,395","60,195,978","58,300,894","70,468,882",
2022,서울특별시,용산구,합 계,"137,560,380","132,110,989","114,570,962","107,874,423","107,725,453","119,537,976","146,398,102","160,821,270","136,286,659","113,598,637","109,860,621","128,644,854",
2022,서울특별시,성동구,농업. 임업,"48,770","52,042","44,416","35,444","34,575","35,691","40,534","44,420","44,394","40,607","36,696","38,333",
2022,서울특별시,성동구,금속비금속,"32,079","28,838","24,755","23,096","20,015","21,664","22,943","23,088","21,467","20,197","24,661","30,289",
2022,서울특별시,성동구,식료품제조,"3,494,042","3,416,043","3,033,659","3,410,988","3,484,628","3,842,083","4,206,573","4,599,951","4,340,670","3,654,369","3,494,151","3,353,728",
2022,서울특별시,성동구,음료품제조,"74,636","73,453","65,734","75,583","76,958","82,411","90,307","89,115","81,049","73,920","75,669","69,391",
2022,서울특별시,성동구,섬      유,"944,889","912,523","815,909","746,449","638,892","686,764","759,354","751,210","689,898","596,958","620,652","748,670",
2022,서울특별시,성동구,의복. 모피,"2,103,825","2,067,184","1,929,558","1,741,219","1,564,485","1,674,381","1,914,058","2,000,060","1,745,989","1,500,863","1,503,647","1,673,426",
2022,서울특별시,성동구,가죽. 신발,"809,955","779,977","633,618","510,122","396,589","434,204","554,903","574,025","539,074","422,869","443,625","604,744",
2022,서울특별시,성동구,목재. 나무,"112,782","109,554","92,090","77,032","62,590","59,712","61,527","71,279","65,787","62,845","84,474","94,796",
2022,서울특별시,성동구,펄프. 종이,"899,913","805,496","716,727","721,353","676,449","780,661","874,165","840,765","795,305","735,043","738,564","813,861",
2022,서울특별시,성동구,출판. 인쇄,"5,342,822","4,757,637","4,253,093","3,998,724","3,647,905","4,040,774","4,826,843","4,601,198","4,237,104","3,702,713","3,805,038","4,431,576",
2022,서울특별시,성동구,석유  정제,"190,800","200,308","223,085","246,855","232,190","254,112","228,039","227,083","200,865","155,847","149,986","201,465",
2022,서울특별시,성동구,화학  제품,"432,700","418,680","367,594","347,278","305,731","323,421","345,724","367,078","338,240","292,349","323,832","343,293",
2022,서울특별시,성동구,고무. 플라,"436,355","425,280","372,724","350,381","294,789","312,451","359,877","346,783","267,381","213,992","225,772","272,148",
2022,서울특별시,성동구,유      리,"240,256","216,787","200,504","201,255","179,402","196,267","207,827","193,778","185,860","176,723","190,670","213,789",
2022,서울특별시,성동구,시  멘  트,"671,693","579,977","462,220","400,538","332,157","292,263","316,854","141,067","137,807","125,983","137,221","160,214",
2022,서울특별시,성동구,1차   금속,"234,708","215,650","186,185","176,114","152,325","148,243","153,983","154,963","152,262","145,037","162,555","194,403",
2022,서울특별시,성동구,조립  금속,"1,199,528","1,121,720","960,109","854,980","691,068","713,533","783,963","758,287","707,618","632,807","704,702","867,460",
2022,서울특별시,성동구,기타  기계,"1,989,663","1,859,928","1,604,838","1,434,768","1,346,331","1,430,937","1,642,147","1,643,227","1,464,776","1,244,220","1,293,804","1,570,884",
2022,서울특별시,성동구,사무  기기,"11,400","10,991","8,619","4,657","2,969","3,974","5,038","5,842","3,975","2,329","2,622","4,567",
2022,서울특별시,성동구,전기  기기,"787,894","727,208","573,738","702,585","649,564","624,871","720,911","690,833","642,713","621,052","735,709","783,882",
2022,서울특별시,성동구,영상. 음향,"210,382","198,814","168,805","142,126","120,087","129,589","148,063","153,826","133,205","111,651","120,419","149,212",
2022,서울특별시,성동구,의료. 광학,"649,018","589,416","545,277","537,431","553,007","595,728","690,622","696,698","605,464","528,499","502,762","618,937",
2022,서울특별시,성동구,자  동  차,"408,894","401,404","338,239","283,427","238,893","236,361","237,138","265,766","241,741","239,691","307,960","371,269",
2022,서울특별시,성동구,기타  운송,"1,013","1,228","1,405",948,774,453,580,627,538,457,541,722,
2022,서울특별시,성동구,가구및기타,"637,546","619,240","538,211","499,560","440,170","462,653","514,166","530,977","489,891","436,665","450,106","518,710",
2022,서울특별시,성동구,재생  재료,"50,364","48,001","44,712","38,440","35,721","35,411","35,053","42,242","40,651","42,846","35,955","40,766",
2022,서울특별시,성동구,수      도,"4,758,585","4,093,221","4,513,059","4,541,657","4,794,616","4,824,823","5,166,326","5,093,124","4,799,694","4,800,006","4,640,029","4,998,034",
2022,서울특별시,성동구,사업자  용,"394,699","415,572","343,305","323,223","318,566","359,569","396,478","440,676","395,480","356,813","338,449","377,448",
2022,서울특별시,성동구,전      철,"17,103,551","16,349,085","14,891,860","14,697,160","14,874,398","15,636,553","18,612,883","20,600,181","17,797,503","15,491,418","15,746,427","16,197,293",
2022,서울특별시,성동구,가정용부문,"39,206,685","39,232,032","34,356,872","34,452,925","31,726,361","33,107,258","41,739,549","51,329,500","42,553,855","33,699,653","32,808,679","34,567,180",
2022,서울특별시,성동구,국  군  용,"42,002","39,926","29,557","25,724","21,068","24,948","28,533","27,656","26,730","25,265","27,930","37,614",
2022,서울특별시,성동구,기타공공용,"28,695,724","27,676,385","24,390,465","23,904,745","22,851,347","25,001,523","28,733,063","31,551,257","28,028,807","23,698,928","23,761,237","26,621,539",
