,연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1446,2017,전라남도,영광군,가로등,753297,685870,661736,626749,615604,592006,587934,618785,644937,693183,731614,757141
1447,2017,전라남도,영광군,심 야,6732524,7525688,5950347,4953272,2874364,1786985,1172063,876106,989407,1703250,3442213,5667879
1448,2017,전라남도,영광군,합 계,52744374,91307155,78318799,76183851,55790556,46030167,54575266,65981431,76698011,73229604,80109661,67462627
1449,2017,전라남도,장성군,주택용,4339083,4411717,3765673,3959907,3682235,3678207,3894148,4820574,4016251,3779961,3928148,4290613
1450,2017,전라남도,장성군,일반용,8974525,9138960,7482583,6928273,6012284,6171576,7205152,8471634,7039886,6111333,7012125,8496389
1451,2017,전라남도,장성군,교육용,544447,458468,431844,520009,324163,327725,437334,432376,421584,290227,392659,635820
1452,2017,전라남도,장성군,산업용,27457342,26570808,30733272,29759657,29030048,29097066,28183231,28725720,30634465,27537795,31598128,32415790
1453,2017,전라남도,장성군,농사용,7351806,7667223,6361010,5785183,4763608,5424418,5933917,7625680,6959657,5534800,7741735,7873183
1454,2017,전라남도,장성군,가로등,1124770,1081990,1092318,1113162,1118156,1154016,1100192,1119236,1103488,1092387,1098018,1080870
1455,2017,전라남도,장성군,심 야,4098995,4561040,3554301,2921659,1623314,1109731,854163,698194,646331,967421,1922674,3429621
1456,2017,전라남도,장성군,합 계,53890968,53890206,53421001,50987850,46553808,46962739,47608137,51893414,50821662,45313924,53693487,58222286
1457,2017,전라남도,완도군,주택용,5585565,5678758,4890768,5199547,4894995,4765918,4957476,6167689,5485654,4885884,5054961,5356740
1458,2017,전라남도,완도군,일반용,8937153,9345924,8052717,8125859,7318828,7024360,7460433,9668931,8708270,7266360,7327770,8377965
1459,2017,전라남도,완도군,교육용,637703,540208,543547,634710,426172,436814,531395,533246,603494,418686,483545,725906
1460,2017,전라남도,완도군,산업용,3306888,2954213,2933381,3608068,3047276,3215389,3502450,3906140,3973693,3436994,3564256,3369105
1461,2017,전라남도,완도군,농사용,46805086,49631046,54988449,68109944,59796810,56444873,57149493,64543370,66068937,64183517,68195092,53254684
1462,2017,전라남도,완도군,가로등,680794,599267,585064,537777,521254,469481,481343,533487,564974,633093,667505,703636
1463,2017,전라남도,완도군,심 야,5129148,5780002,4591850,3941387,2524919,1608884,1109416,787155,766438,1238655,2469320,4145748
1464,2017,전라남도,완도군,합 계,71082337,74529418,76585776,90157292,78530254,73965719,75192006,86140018,86171460,82063189,87762449,75933784
1465,2017,전라남도,진도군,주택용,3543596,3635572,3105346,3268533,3073552,2969076,3094665,3953648,3336154,3052439,3178037,3398053
1466,2017,전라남도,진도군,일반용,4814722,5059613,4413790,4433506,3944526,3968654,4326883,5385486,4271080,3586455,3681584,4376066
1467,2017,전라남도,진도군,교육용,329461,310467,306709,359717,227385,226695,300870,252390,305800,199180,278971,417317
1468,2017,전라남도,진도군,산업용,1654139,1603088,1469601,1564023,1515401,1583539,1521225,1734388,1830528,1726521,1913008,1802374
1469,2017,전라남도,진도군,농사용,15797516,15785362,16595710,18256958,13794480,13759631,12614050,14366789,13906813,12912995,17351445,14423558
1470,2017,전라남도,진도군,가로등,549807,481161,471838,424910,401729,371477,383197,422470,457935,522579,571679,601429
