시군구별 계약종별별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2015,서울특별시,종로구,주택용,"24,148,189","23,083,847","20,331,649","20,731,205","19,504,046","20,608,775","22,198,422","26,138,176","22,806,253","19,532,001","20,151,238","21,357,835",
2015,서울특별시,종로구,일반용,"118,133,726","108,137,268","97,702,442","91,920,361","88,113,897","101,708,190","113,814,618","123,134,333","109,709,164","90,713,735","89,816,489","103,359,821",
2015,서울특별시,종로구,교육용,"9,619,909","9,134,874","7,877,886","7,528,174","6,553,731","7,895,442","8,599,190","8,962,583","8,752,875","6,779,537","7,080,494","8,749,458",
2015,서울특별시,종로구,산업용,"6,580,369","6,670,621","5,982,242","6,721,819","5,823,373","6,064,528","5,882,294","6,096,980","6,683,300","5,281,388","5,743,682","6,227,976",
2015,서울특별시,종로구,농사용,"2,848","2,465","1,496","1,751","1,718","2,401","2,329","2,501","2,285","2,138","2,142","1,940",
2015,서울특별시,종로구,가로등,"1,146,090","1,075,102","952,962","927,062","843,043","815,751","800,183","850,694","909,157","968,991","1,043,462","1,090,879",
2015,서울특별시,종로구,심 야,"4,822,017","4,528,148","3,736,099","3,097,673","3,517,895","4,918,544","6,247,907","6,238,675","4,851,871","2,935,359","2,281,081","3,320,642",
2015,서울특별시,종로구,합 계,"164,453,148","152,632,325","136,584,776","130,928,045","124,357,703","142,013,631","157,544,943","171,423,942","153,714,905","126,213,149","126,118,588","144,108,551",
2015,서울특별시,중구,주택용,"17,429,254","16,820,491","14,805,947","15,084,063","14,068,375","14,849,087","15,852,565","18,920,164","16,515,526","14,049,726","14,730,532","15,653,614",
2015,서울특별시,중구,일반용,"179,084,402","161,309,495","152,548,419","144,680,104","144,934,055","164,958,786","183,362,948","191,944,670","172,954,459","146,058,749","140,121,460","159,086,751",
2015,서울특별시,중구,교육용,"5,433,375","4,635,007","4,178,012","3,327,941","2,786,720","3,426,306","3,604,471","3,584,793","3,688,080","2,869,300","3,313,219","4,761,682",
2015,서울특별시,중구,산업용,"23,597,665","22,844,742","20,155,793","20,651,237","18,036,278","19,342,519","20,413,909","21,236,622","22,331,547","17,541,626","18,471,105","21,270,667",
2015,서울특별시,중구,가로등,"1,725,615","1,677,515","1,535,543","1,580,030","1,458,275","1,426,796","1,397,186","1,436,204","1,491,224","1,495,843","1,594,804","1,565,216",
2015,서울특별시,중구,심 야,"1,197,573","1,126,975","1,085,171","1,595,439","4,346,703","7,669,382","9,667,713","10,341,976","7,713,418","3,470,952","911,567","912,902",
2015,서울특별시,중구,합 계,"228,467,884","208,414,225","194,308,885","186,918,814","185,630,406","211,672,876","234,298,792","247,464,429","224,694,254","185,486,196","179,142,687","203,250,832",
2015,서울특별시,용산구,주택용,"36,455,771","35,247,773","30,807,874","31,710,639","29,498,921","31,703,318","34,266,922","42,206,725","35,745,022","29,833,771","30,972,933","32,604,945",
2015,서울특별시,용산구,일반용,"73,401,234","68,298,468","59,489,763","56,353,622","54,052,642","63,065,777","71,067,845","79,389,597","70,867,528","56,218,631","55,219,688","63,365,512",
2015,서울특별시,용산구,교육용,"5,280,782","4,910,776","4,389,686","4,115,906","3,593,913","4,268,364","4,717,002","4,703,078","5,004,172","3,786,353","3,756,041","4,803,581",
2015,서울특별시,용산구,산업용,"9,240,228","8,860,906","8,490,326","8,594,300","7,853,179","8,272,814","8,688,815","9,450,706","9,422,579","8,076,329","8,151,840","8,411,498",
2015,서울특별시,용산구,농사용,68,52,68,73,20,11,8,8,24,176,95,24,
2015,서울특별시,용산구,가로등,"1,500,780","1,398,816","1,255,532","1,239,154","1,137,674","1,091,004","1,066,007","1,134,492","1,211,015","1,295,116","1,408,402","1,444,296",
2015,서울특별시,용산구,심 야,"989,022","966,088","763,822","678,899","654,681","1,103,740","1,244,467","1,506,970","871,169","470,914","445,891","661,959",
2015,서울특별시,용산구,합 계,"126,867,885","119,682,879","105,197,071","102,692,593","96,791,030","109,505,028","121,051,066","138,391,576","123,121,509","99,681,290","99,954,890","111,291,815",
2015,서울특별시,성동구,주택용,"36,530,668","35,492,370","31,237,684","32,352,815","29,868,259","31,212,693","32,874,154","40,366,830","35,518,505","30,133,016","31,526,122","33,007,556",
2015,서울특별시,성동구,일반용,"63,345,968","58,906,453","51,585,072","48,900,474","46,062,508","51,503,512","57,581,426","63,445,543","57,773,400","47,641,040","47,646,701","58,878,722",
2015,서울특별시,성동구,교육용,"7,370,964","6,355,930","6,432,559","5,564,111","5,173,672","6,178,168","6,749,271","6,618,510","6,365,442","5,123,519","5,457,250","6,926,833",
2015,서울특별시,성동구,산업용,"66,964,477","63,921,886","59,369,022","61,430,843","58,427,272","61,058,697","63,438,065","65,714,391","63,801,778","56,975,415","57,592,035","55,807,681",
2015,서울특별시,성동구,농사용,245,192,104,107,52,16,10,40,248,37,78,216,
2015,서울특별시,성동구,가로등,"1,267,279","1,206,664","1,107,609","1,060,361","1,003,299","943,441","916,624","960,186","1,028,793","1,084,210","1,189,004","1,219,613",
2015,서울특별시,성동구,심 야,"813,210","767,998","602,310","391,007","214,344","225,546","310,013","357,136","285,875","172,579","207,062","458,504",
2015,서울특별시,성동구,합 계,"176,292,811","166,651,493","150,334,360","149,699,718","140,749,406","151,122,073","161,869,563","177,462,636","164,774,041","141,129,816","143,618,252","156,299,125",
2015,서울특별시,동대문구,주택용,"45,505,511","44,030,561","38,927,098","40,150,015","37,217,879","38,689,583","40,664,814","48,980,089","42,768,027","36,971,605","38,716,105","40,560,075",
2015,서울특별시,동대문구,일반용,"64,525,565","59,663,053","51,804,928","49,455,780","46,022,482","52,012,974","58,459,076","66,098,019","59,742,441","47,601,164","46,507,469","53,842,360",
2015,서울특별시,동대문구,교육용,"8,877,831","7,628,108","7,299,544","6,479,699","5,546,245","6,400,033","7,057,258","6,979,887","6,913,811","5,759,074","6,233,265","7,999,540",
2015,서울특별시,동대문구,산업용,"15,295,841","10,150,961","12,611,315","12,975,647","11,899,780","12,786,564","14,051,347","15,711,559","15,354,162","12,370,931","12,812,252","13,728,748",
2015,서울특별시,동대문구,농사용,"7,799","4,972","2,048","2,205","1,869","2,311","2,377","2,719","2,709","1,636","1,362","1,288",
2015,서울특별시,동대문구,가로등,"1,216,158","1,152,142","1,060,381","951,229","896,685","800,828","779,631","835,550","906,914","1,008,267","1,066,149","1,133,798",
2015,서울특별시,동대문구,심 야,"1,307,186","1,232,827","1,049,125","779,452","656,790","718,200","847,873","898,474","618,699","382,626","498,629","830,824",
2015,서울특별시,동대문구,합 계,"136,735,891","123,862,624","112,754,439","110,794,027","102,241,730","111,410,493","121,862,376","139,506,297","126,306,763","104,095,303","105,835,231","118,096,633",
2015,서울특별시,성북구,주택용,"55,436,515","54,167,758","47,461,877","49,452,729","45,638,018","47,152,505","48,647,037","58,011,148","51,627,662","45,139,183","47,626,864","49,488,774",
2015,서울특별시,성북구,일반용,"53,180,898","49,983,488","42,852,440","41,167,989","38,268,421","42,635,731","47,136,167","53,338,888","48,862,084","39,268,903","38,736,758","43,919,349",
2015,서울특별시,성북구,교육용,"15,601,122","14,035,271","13,240,755","11,962,366","10,530,158","13,076,487","13,307,389","13,643,067","13,713,193","10,825,419","11,838,554","15,284,275",
2015,서울특별시,성북구,산업용,"8,930,285","8,601,402","8,176,655","8,351,951","7,844,350","8,466,917","8,644,869","9,136,829","8,448,000","7,541,321","7,870,950","8,294,615",
2015,서울특별시,성북구,농사용,"9,423","10,122","8,914","8,391","7,034","7,716","8,776","12,886","11,075","10,527","9,888","9,342",
2015,서울특별시,성북구,가로등,"1,510,961","1,428,825","1,336,705","1,225,304","1,168,183","1,095,751","1,069,250","1,130,934","1,210,946","1,300,620","1,417,099","1,490,155",
2015,서울특별시,성북구,심 야,"3,631,767","3,378,935","2,773,509","2,065,062","1,349,862","1,239,757","1,291,560","1,346,630","1,048,284","875,120","1,410,687","2,433,197",
2015,서울특별시,성북구,합 계,"138,300,971","131,605,801","115,850,855","114,233,792","104,806,026","113,674,864","120,105,048","136,620,382","124,921,244","104,961,093","108,910,800","120,919,707",
2015,서울특별시,도봉구,주택용,"39,270,684","38,580,121","33,740,791","35,142,157","32,552,538","33,848,495","34,637,745","41,192,863","35,675,912","32,153,101","34,440,273","35,765,437",
2015,서울특별시,도봉구,일반용,"34,398,352","32,500,897","27,365,462","26,338,039","24,344,699","27,219,016","30,317,899","34,163,181","31,186,159","24,887,135","24,837,896","28,323,213",
