시군구별 용도업종별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,업종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2021,서울특별시,종로구,농업. 임업,"11,426","11,628","7,891","6,517","6,921","5,553","6,580","8,380","6,112","5,126","5,592","16,276",
2021,서울특별시,종로구,금속비금속,"63,734","58,469","47,925","44,736","38,535","39,606","50,023","48,793","47,051","38,450","38,650","51,707",
2021,서울특별시,종로구,식료품제조,"176,582","173,748","147,374","148,628","144,213","154,043","160,440","171,374","169,095","150,753","143,569","151,610",
2021,서울특별시,종로구,섬      유,"312,232","331,935","300,297","324,281","280,138","290,626","320,891","326,847","308,903","255,506","255,174","295,969",
2021,서울특별시,종로구,의복. 모피,"2,193,038","2,482,599","2,547,129","3,041,189","2,675,872","2,715,164","2,877,579","3,020,624","2,788,967","2,365,535","2,390,182","2,466,911",
2021,서울특별시,종로구,가죽. 신발,"22,686","26,888","19,377","18,311","15,079","15,872","17,166","21,303","17,693","12,558","14,374","17,548",
2021,서울특별시,종로구,목재. 나무,"56,046","50,642","40,388","41,245","36,797","39,193","49,089","50,871","49,061","39,757","40,672","50,062",
2021,서울특별시,종로구,펄프. 종이,"46,002","44,251","31,180","31,588","25,095","27,708","32,373","41,157","41,656","49,442","46,682","44,240",
2021,서울특별시,종로구,출판. 인쇄,"366,575","346,612","343,781","322,570","293,679","327,663","352,654","343,076","327,453","292,413","318,691","366,502",
2021,서울특별시,종로구,화학  제품,"55,264","53,888","42,189","41,341","32,879","32,848","38,345","46,820","42,237","37,619","35,554","50,263",
2021,서울특별시,종로구,고무. 플라,"105,599","109,437","100,141","112,610","97,184","105,516","113,896","119,124","112,410","100,054","100,363","106,666",
2021,서울특별시,종로구,유      리,"7,670","8,278","6,042","4,376","1,787","1,568","2,160","3,114","2,663","1,708","1,947","3,198",
2021,서울특별시,종로구,시  멘  트,"29,083","26,907","20,671","23,244","19,602","19,883","25,832","27,287","22,498","19,706","17,949","25,345",
2021,서울특별시,종로구,1차   금속,"83,472","74,850","55,784","54,762","45,037","48,569","66,029","72,459","67,588","56,375","58,005","74,545",
2021,서울특별시,종로구,조립  금속,"147,218","138,845","110,974","104,140","85,039","86,465","106,944","109,905","105,700","80,191","88,512","114,032",
2021,서울특별시,종로구,기타  기계,"111,033","112,410","88,649","89,853","71,869","72,628","87,577","98,118","86,333","69,419","72,199","90,177",
2021,서울특별시,종로구,전기  기기,"33,594","32,231","23,082","18,121","11,253","10,243","12,453","15,703","12,986","9,458","11,837","20,065",
2021,서울특별시,종로구,영상. 음향,"13,243","13,093","9,817","8,549","7,605","7,105","7,659","9,894","8,143","6,276","8,115","11,038",
2021,서울특별시,종로구,의료. 광학,"95,673","98,448","75,543","70,200","61,757","71,404","86,340","102,155","87,955","73,063","73,928","83,378",
2021,서울특별시,종로구,자  동  차,992,"1,653","2,496","3,652","3,427","2,525","1,074","1,349","1,999","1,685","2,103","1,773",
2021,서울특별시,종로구,기타  운송,"13,833","12,854","12,120","13,118","10,581","12,320","14,048","13,374","11,134","10,776","11,463","13,341",
2021,서울특별시,종로구,가구및기타,"1,836,852","1,723,618","1,455,795","1,438,741","1,256,395","1,330,751","1,592,963","1,615,297","1,586,963","1,313,771","1,339,030","1,601,435",
2021,서울특별시,종로구,수      도,"175,701","179,402","154,817","168,017","161,329","170,024","163,576","167,529","164,491","157,925","162,445","146,197",
