년월,계약종별,전력사용량,평균기온(°C),평균현지기압(hPa),평균상대습도(%),평균풍속(m/s),일조율(%),월합강수량(00~24h만)(mm)
2015-11,가로등,40982916,9.31111111111111,1012.2555555555555,82.88888888888889,1.3777777777777778,22.624444444444446,126.04444444444445
2015-11,교육용,83778322,9.31111111111111,1012.2555555555555,82.88888888888889,1.3777777777777778,22.624444444444446,126.04444444444445
2015-11,농사용,322939086,9.31111111111111,1012.2555555555555,82.88888888888889,1.3777777777777778,22.624444444444446,126.04444444444445
2015-11,산업용,4742823646,9.31111111111111,1012.2555555555555,82.88888888888889,1.3777777777777778,22.624444444444446,126.04444444444445
2015-11,심 야,231499924,9.31111111111111,1012.2555555555555,82.88888888888889,1.3777777777777778,22.624444444444446,126.04444444444445
2015-11,일반용,815005242,9.31111111111111,1012.2555555555555,82.88888888888889,1.3777777777777778,22.624444444444446,126.04444444444445
2015-11,주택용,558558806,9.31111111111111,1012.2555555555555,82.88888888888889,1.3777777777777778,22.624444444444446,126.04444444444445
2015-11,합 계,6795587942,9.31111111111111,1012.2555555555555,82.88888888888889,1.3777777777777778,22.624444444444446,126.04444444444445
2015-12,가로등,41553956,2.2888888888888888,1014.3444444444444,74.88888888888889,1.311111111111111,45.06777777777778,45.84444444444445
2015-12,교육용,115495995,2.2888888888888888,1014.3444444444444,74.88888888888889,1.311111111111111,45.06777777777778,45.84444444444445
2015-12,농사용,214605829,2.2888888888888888,1014.3444444444444,74.88888888888889,1.311111111111111,45.06777777777778,45.84444444444445
2015-12,산업용,4871650280,2.2888888888888888,1014.3444444444444,74.88888888888889,1.311111111111111,45.06777777777778,45.84444444444445
2015-12,심 야,387442161,2.2888888888888888,1014.3444444444444,74.88888888888889,1.311111111111111,45.06777777777778,45.84444444444445
2015-12,일반용,933466032,2.2888888888888888,1014.3444444444444,74.88888888888889,1.311111111111111,45.06777777777778,45.84444444444445
